=== Simulation Start ===
[Config] Weapon: シンデレラ's RL
[Config] Type: CHARGE (Class: RL)
[Config] Max Ammo: 50
[Config] Fire Interval (RAPID default): 5
[Skill] 時間: 30.75s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 31.10s | 弾数: 22/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x10 (Val:0.16)]
[Skill] 時間: 31.10s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 31.45s | 弾数: 21/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x10 (Val:0.16)]
[Skill] 時間: 31.45s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 31.80s | 弾数: 20/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x10 (Val:0.16)]
[Skill] 時間: 31.80s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 32.15s | 弾数: 19/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x10 (Val:0.16)]
[Skill] 時間: 32.15s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 32.50s | 弾数: 18/50  | ペレット: 1 (Hit:1) | Dmg:    27,388 | Buffs: charge_speed_rate:1.00 | [Beauty x10 (Val:0.16)]
[Skill] 時間: 32.50s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 32.85s | 弾数: 17/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x10 (Val:0.16)]
[Skill] 時間: 32.85s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 33.20s | 弾数: 16/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x11 (Val:0.18)]
[Skill] 時間: 33.20s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 33.55s | 弾数: 15/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x11 (Val:0.18)]
[Skill] 時間: 33.55s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 33.90s | 弾数: 14/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x11 (Val:0.18)]
[Skill] 時間: 33.90s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 34.25s | 弾数: 13/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x11 (Val:0.18)]
[Skill] 時間: 34.25s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 34.60s | 弾数: 12/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x11 (Val:0.18)]
[Skill] 時間: 34.60s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 34.95s | 弾数: 11/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x11 (Val:0.18)]
[Skill] 時間: 34.95s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
